"Месяц","Категория","Название","Количество","Сумма"
"Февраль", "Корма", "Royal Canin Renal RF14 Сухой корм для собак при почечной недостаточности 2 кг", "2 пачки", "5650"
"Февраль", "Медикаменты", "Apicenna Раносан Мазь антибактериальная ранозаживляющая для кошек и собак 10 гр.", "1 упаковка", "227"
"Февраль", "Медикаменты", "БиоХимФарм Алюмиспрей заживляющий для кошек и собак 350 мл", "1 упаковка", "474"
"Февраль", "Обработка от паразитов", "KRKA Милпразон Антигельминтные таблетки для собак и щенков весом до 5 кг", "1 упаковка", "396"
"Февраль", "Обработка от паразитов", "KRKA Милпразон Антигельминтные таблетки для собак весом более 5 кг", "1 упаковка", "597"
"Февраль", "Обработка от паразитов", "KRKA Милпразон Антигельминтные таблетки для кошек весом более 2 кг", "1 упаковка", "620"
"Февраль", "Обработка от паразитов", "АВЗ Барс спрей для взрослых собак от блох и клещей 200 мл", "1 упаковка", "778"
"Февраль", "Обработка от паразитов", "KRKA Атакса Капли на холку для собак весом от 25 до 40 кг от блох и клещей", "1 упаковка", "733"
"Февраль", "Обработка от паразитов", "KRKA Атакса Капли на холку для собак весом от 10 до 25 кг от блох и клещей", "1 упаковка", "647"
"Март", "Корма", "АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и бараниной 750 гр", "2 банки", "474"
"Март", "Корма", "АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и рубцом 750 гр", "2 банки", "474"
"Март", "Корма", "АВВА Влажный корм (консервы) для собак средних и крупных пород с говядиной и сердцем 750 гр", "2 банки", "474"
"Март", "Корма", "Royal Canin Renal RF14 Сухой корм для собак при почечной недостаточности 2 кг", "1 пачки", "2511"
"Март", "Корма", "PRO PLAN Veterinary Diets Purina Veterinary Diets EN Gastrointestinal Сухой корм для щенков и взрослых собак при расстройствах пищеварения и экзокринной недостаточности поджелудочной железы 1.5 кг", "1 пачка", "2652"
"Март", "Обработка от паразитов", "Apicenna Дана Ультра капли на холку для кошек более 4 кг от блох вшей клещей власоедов 1 пипетка", "4 упаковки", "730"
"Март", "Обработка от паразитов", "Apicenna Дана Ультра капли на холку для собак и щенков 10-20 кг от блох вшей клещей 1 пипетка", "3 упаковки", "548"
"Март", "Обработка от паразитов", "Apicenna Дана Ультра капли на холку для собак и щенков до 5 кг от блох вшей клещей власоедов 1 пипетка", "1 упаковка", "160"
"Март", "Обработка от паразитов", "Apicenna Дана Ультра капли на холку
